userId,lang_count,counts_details,counts_pictures,counts_kisses,whazzup_len,cluster_4,cluster_5
52acc7d0140ba0f41710783c,1,0.81,1,236,60,0,0
52adb99c150ba01e4576b1e4,1,0.85,6,144,31,2,0
52af1ad4150ba0d561e4d2c0,1,0.96,9,497,25,1,3
52af1fc2c46da18d7cc5a63e,1,0.23,5,672,57,1,1
52b34076170ba0284ff01e9d,1,0.92,3,741,22,1,1
52b354a31a0ba0087a4a1492,1,0.92,5,929,2,1,1
52b3ffc0190ba0f12979c06a,1,0.69,4,632,81,1,1
52b4266f150ba05034d77a1a,1,0.85,6,393,53,0,3
52b5e381150ba095219defa3,1,0.92,10,270,40,0,0
52b734e8180ba0123fdcf071,1,0.77,5,1484,43,3,4
52b756271b0ba0b401a8824e,1,0.96,4,112,2,2,0
52b7686b1b0ba0f7799b539c,1,0.46,5,764,62,1,1
52b9e30e170ba0273b1ef49f,1,0.77,10,219,0,0,0
52bb3dc6190ba04b5702680a,1,0.81,4,171,37,0,0
52bb47311a0ba0d52ea208ad,1,0.23,2,187,17,0,0
52bc998cc56da11a567ec055,1,0.88,6,55,73,2,2
52bd1bbe140ba0d774ed250c,1,0.85,8,166,0,0,0
52bddd74c56da1045a1d428c,1,0.85,8,200,0,0,0
52bfd0851b0ba0a3327ad95b,1,0.31,3,79,0,2,2
52c055c7160ba0c45f947c3e,1,0.85,6,267,20,0,0
52c08342c66da1f32d042226,1,0.5,1,95,4,2,2
52c0b038170ba03647f8415a,1,0.0,2,347,0,0,3
52c44a02180ba0d5058d96fe,1,0.96,10,21,26,2,2
52c4709b140ba0e17f19c1f8,1,0.58,1,77,2,2,2
52c47291140ba0a17723b9dc,1,0.96,2,552,9,1,3
52c4d3171a0ba00754d78379,1,0.54,6,137,2,2,0
52c53eb71b0ba0e80e42e4e2,1,0.73,8,1063,20,3,1
52c5e4f81a0ba0ae58580c9c,1,0.58,6,105,0,2,2
52c5e5c7180ba0f153178540,1,0.5,8,220,50,0,0
52c6d689c76da179398b4b12,1,0.08,5,132,86,2,0
52c7308d150ba0e3698033b3,1,0.58,5,44,0,2,2
52c82e8e160ba089609c590a,1,0.96,5,104,2,2,2
52c85ff51a0ba0d5745e106e,1,0.23,5,376,2,0,3
52c980081b0ba08a135333b0,1,0.23,4,211,2,0,0
52cace47150ba04e2bb69e1e,1,0.38,4,359,0,0,3
52cd79ab190ba032555e455a,1,0.0,7,270,26,0,0
52cfe82e150ba01c3676a2ee,1,0.85,7,346,82,0,3
52d37f491b0ba07a5c9d9142,1,0.0,1,1315,0,3,4
52d542a11b0ba0a4423ab30c,3,0.88,3,263,20,0,0
52d5b15b140ba0d02950ce93,1,0.96,4,1167,40,3,4
52d68ada190ba00a326a756f,1,0.88,7,15,45,2,2
52d6c483c46da12451bdda1b,1,0.5,2,661,3,1,1
52d90748180ba0f65757fddc,1,0.73,6,50,9,2,2
52d9980a1b0ba0d52d1481b3,1,0.85,9,657,51,1,1
52dc261f150ba09248346cd6,1,0.58,7,301,76,0,3
52e0305d170ba00e42143e3d,1,0.54,5,659,30,1,1
52e0417f160ba03f6b149a78,1,0.77,6,27,3,2,2
52e267dbc46da197438e1688,1,0.92,8,426,14,0,3
52e67ab9140ba0c7705f574f,1,0.58,6,184,23,0,0
52e69e6f1a0ba06f75fa5f88,1,0.62,7,259,2,0,0
52e7ddb01b0ba0c85a037d50,1,0.73,5,347,42,0,3
52e7eb47c46da17d66f17bcb,1,1.0,8,1623,44,3,4
52ea316b180ba05d1d30f8b7,1,0.85,6,263,90,0,0
52ed16c4140ba06715006884,1,0.81,3,33,0,2,2
52ee4c0b190ba0430e060756,1,0.92,9,66,45,2,2
52ef01881a0ba0976195754b,1,0.15,1,38,2,2,2
52f1646c1b0ba06420836cd2,1,0.77,3,306,0,0,3
52f2aa25c46da17a47adbc90,1,0.96,4,53,39,2,2
52f3e1461b0ba0594fdba82b,1,0.0,7,737,13,1,1
52f3e9c2180ba017746f7579,1,0.62,7,93,21,2,2
52f656e0140ba052649e06f5,1,0.0,2,151,0,2,0
52f6ce15c46da1b956ebfaeb,1,0.69,10,29,9,2,2
52f76e34190ba0b7224d83ab,1,0.85,4,181,0,0,0
52f79a05c56da1bc6d383650,1,0.62,2,910,3,1,1
52f7cba81a0ba01f57f04c1e,1,0.8,5,835,2,1,1
52f8dd2d1b0ba0cd2fd9cd39,1,0.92,6,219,29,0,0
52f8df04150ba03a31bb0f07,1,0.58,4,313,3,0,3
52f92059170ba0b6506fb64f,1,0.0,0,39,0,2,2
52fa09671a0ba0a106c648aa,1,0.92,2,30,55,2,2
52fa822c170ba05e5a06ecc7,1,0.69,8,1185,2,3,4
52fa86b7c66da14734320987,1,0.81,2,331,0,0,3
52ff72c9140ba0f81abf1341,1,0.69,11,161,0,0,0
52ffa9aa140ba0aa6aecb291,3,0.23,6,181,29,0,0
5300bd98140ba00957995b4f,1,0.92,2,155,3,2,0
5300e9b4140ba08c303ff4ac,1,0.6,8,756,0,1,1
53012933c66da1f51b15cdec,1,0.38,4,42,0,2,2
53025af1c86da12353564ace,1,0.88,5,610,0,1,3
53025baec56da1267a0483e7,4,0.27,5,894,50,1,1
53027176c46da1091f9eb457,1,0.38,3,48,0,2,2
53049b2e190ba0ce5d838a29,1,0.85,3,81,5,2,2
53055430cb6da17a878b49b6,1,1.0,3,9,45,2,2
5306aff7c46da1ce16c1c5be,1,0.5,3,32,88,2,2
5308ef99180ba0495e02ab2a,1,0.42,5,809,2,1,1
530916f7190ba096620bec03,1,0.69,9,114,45,2,0
5309d655190ba0512078320b,2,0.54,5,905,31,1,1
530a1ab4c46da1a329ad7653,1,0.77,2,267,19,0,0
530c9dc6c96da155048b45b6,1,0.85,6,91,3,2,2
530d10ddc66da1fd1087d707,1,0.46,0,60,5,2,2
530eff91180ba0b247098d88,1,0.62,3,189,26,0,0
530f11a31a0ba07e7be1c8c9,1,1.0,5,203,9,0,0
530f8002ca6da13d9a8b45ca,1,0.35,3,711,13,1,1
5310a2d4c86da12405db0319,1,0.77,5,1004,15,1,1
5311825f190ba05c5c8b6ef0,1,0.85,8,137,32,2,0
5311926d170ba080208b744c,1,0.6,7,91,9,2,2
